ISO code,Population,Value
"GUY","Guyana","15.1",
"TTO","TrinidadandTobago","11.9",
"AUS","Australia","1.5",
"MYS","Malaysia","5.8",
"COD","Congo,DemocraticRepublicof","23.7",
"GNB","Guinea-Bissau","30.3",
"IRN","Iran,IslamicRepublicof","1.5",
"MKD","NorthMacedonia","3.6",
"BEL","Belgium","2.0",
"MEX","Mexico","5.7",
"DNK","Denmark","2.2",
"RWA","Rwanda","20.1",
"JPN","Japan","2.9",
"UZB","Uzbekistan","6.7",
"SLB","SolomonIslands","16.4",
"NAM","Namibia","22.5",
"EST","Estonia","4.3",
"SGP","Singapore","3.3",
"KGZ","Kyrgyzstan","9.1",
"CMR","Cameroon","23.4",
"NER","Niger","8.4",
"GAB","Gabon","16.4",
"ESP","Spain","1.6",
"GLP","France,Guadeloupe","3.1",
"SYR","SyrianArabRepublic","1.9",
"DZA","Algeria","4.5",
"LTU","Lithuania","6.7",
"CHN","China","5.3",
"PER","Peru","11.5",
"HUN","Hungary","4.9",
"TUR","Turkey","2.2",
"BHR","Bahrain","2.4",
"MLT","Malta","1.1",
"CUB","Cuba","6.9",
"QAT","Qatar","2.9",
"ISR","Israel","2.0",
"TZA","Tanzania,UnitedRepublicof","42.7",
"BIH","BosniaandHerzegovina","5.2",
"MNE","Montenegro","10.5",
"SLV","ElSalvador","7.4",
"SAU","SaudiArabia","1.6",
"KEN","Kenya","20.6",
"MMR","Myanmar","14.4",
"NCL","France,NewCaledonia","8.6",
"FRA","France","2.2",
"SVN","Slovenia","2.4",
"YEM","Yemen","1.8",
"LSO","Lesotho","38.7",
"CAF","CentralAfricanRepublic","17.1",
"PAK","Pakistan","4.0",
"PSE","GazaStripandWestBank","3.4",
"SUR","Suriname","14.1",
"GIN","Guinea","37.2",
"TGO","Togo","13.8",
"ARG","Argentina","8.7",
"MWI","Malawi","51.5",
"COG","Congo,Republicof","14.2",
"PRT","Portugal","3.2",
"IDN","Indonesia","14.4",
"UKR","Ukraine","5.6",
"BRB","Barbados","9.0",
"MUS","Mauritius","5.2",
"BEN","Benin","10.4",
"RUS","RussianFederation","6.1",
"JAM","Jamaica","13.6",
"URY","Uruguay","5.6",
"BLZ","Belize","14.8",
"OMN","Oman","4.2",
"ERI","Eritrea","11.4",
"SLE","SierraLeone","16.4",
"KWT","Kuwait","1.8",
"KHM","Cambodia","8.3",
"NIC","Nicaragua","12.6",
"DJI","Djibouti","11.2",
"ZWE","Zimbabwe","43.0",
"CHE","Switzerland","1.0",
"ALB","Albania","3.3",
"LBY","Libya","4.9",
"CHL","Chile","5.2",
"PRY","Paraguay","19.0",
"GRC","Greece","2.2",
"HND","Honduras","12.5",
"TUN","Tunisia","2.4",
"BHS","Bahamas","10.6",
"MLI","Mali","28.3",
"HRV","Croatia","3.2",
"PRI","PuertoRico","2.8",
"IRL","Ireland","2.8",
"GBR","UnitedKingdom","1.9",
"BOL","Bolivia,PlurinationalStateof","18.0",
"MDA","RepublicofMoldova","7.4",
"ECU","Ecuador","8.2",
"STP","SaoTomeandPrincipe","13.1",
"JOR","Jordan","1.9",
"WSM","Samoa","7.5",
"BGR","Bulgaria","7.1",
"NLD","TheNetherlands","1.4",
"FIN","Finland","1.1",
"VNM","VietNam","3.4",
"LBN","Lebanon","2.0",
"CPV","CaboVerde","10.5",
"NOR","Norway","1.7",
"GMB","TheRepublicoftheGambia","33.9",
"SDN","Sudan","6.2",
"GTM","Guatemala","11.9",
"THA","Thailand","7.4",
"AZE","Azerbaijan","4.0",
"MDG","Madagascar","29.0",
"COM","Comoros","39.8",
"POL","Poland","5.9",
"IND","India","11.4",
"UGA","Uganda","41.4",
"ARM","Armenia","4.6",
"MRT","Mauritania","20.3",
"CZE","Czechia","3.6",
"ROU","Romania","9.6",
"CIV","Côted'Ivoire","22.8",
"BFA","BurkinaFaso","14.3",
"BRA","Brazil","6.3",
"MOZ","Mozambique","38.7",
"ETH","Ethiopia","16.0",
"SRB","Serbia","7.9",
"KOR","Korea,Republicof","1.8",
"BLR","Belarus","4.2",
"NZL","NewZealand","2.0",
"PYF","FrenchPolynesia","4.5",
"ZAF","SouthAfrica","19.6",
"SWE","Sweden","1.8",
"AFG","Afghanistan","7.6",
"LBR","Liberia","30.8",
"TCD","Chad","16.0",
"PNG","PapuaNewGuinea","19.1",
"GHA","Ghana","17.8",
"HTI","Haiti","9.0",
"ARE","UnitedArabEmirates","3.9",
"AUT","Austria","1.8",
"MDV","Maldives","14.1",
"CRI","CostaRica","5.4",
"TLS","Timor-Leste","8.8",
"IRQ","Iraq","1.5",
"EGY","Egypt","1.7",
"BTN","Bhutan","8.4",
"MNG","Mongolia","11.6",
"DOM","DominicanRepublic","11.7",
"LCA","SaintLucia","11.0",
"KAZ","Kazakhstan","7.2",
"VEN","Venezuela,BolivarianRepublicof","12.5",
"BRN","BruneiDarussalam","5.7",
"NPL","Nepal","11.1",
"FJI","Fiji","20.7",
"SVK","Slovakia","5.3",
"LAO","LaoPeople'sDemocraticRepublic","6.7",
"CAN","Canada","1.9",
"NGA","Nigeria","13.2",
"GEO","Georgia","5.9",
"SSD","SouthSudan","16.0",
"GUA","Guam","8.0",
"TJK","Tajikistan","5.2",
"AGO","Angola","25.0",
"LUX","Luxembourg","1.8",
"COL","Colombia","7.4",
"PHL","Philippines","7.9",
"ISL","Iceland","1.9",
"TKM","Turkmenistan","8.9",
"BGD","Bangladesh","6.7",
"MTQ","France,Martinique","3.6",
"CYP","Cyprus","2.9",
"REU","France,LaRéunion","4.8",
"ITA","Italy","1.6",
"USA","UnitedStatesofAmerica","2.1",
"BWA","Botswana","20.1",
"MAR","Morocco","5.8",
"GNQ","EquatorialGuinea","21.3",
"SEN","Senegal","26.0",
"PRK","Korea,DemocraticRepublicof","6.5",
"BDI","Burundi","38.5",
"VUT","Vanuatu","14.9",
"GUF","FrenchGuiana","6.5",
"SOM","Somalia","20.2",
"ZMB","Zambia","43.4",
"LVA","Latvia","6.8",
"LKA","SriLanka","4.9",
"PAN","Panama","7.5",
"DEU","Germany","2.2",
"SWZ","Eswatini","55.7",
